Tên sản phẩm,Loại sản phẩm,Mã SKU,LC_CN1_Tồn kho ban đầu,LC_CN1_Giá vốn khởi tạo,PL_Giá bán lẻ,PL_Giá nhập
Bát tô F20 men kem,Hàng Gốm Sứ,T/BT20/MK,3,0,150.000,111.000
Đĩa F20 men kem,Hàng Gốm Sứ,T/D20/MK,3,0,90.000,67.000
Đĩa F22 men kem,Hàng Gốm Sứ,T/D22/MK,3,0,110.000,81.000
Đĩa muối trâu sen,Hàng Gốm Sứ,TS/DMU,3,0,30.000,22.000
Cà phê Robusta đã xay gói 200g,"Đồ Ăn, Thức Uống",CP/R/DX/200G,3,0,140.000,104.000
khay bầu dục gắn trai có quai KT: 18x30,"Khay tre, khảm trai, gỗ",KBDGTCQ/18X30,3,0,170.000,126.000
Nón bọc vải lụa 1 mặt phi 43,"Nón, Nón treo",NBVL/1/43,3,0,350.000,259.000
Xì gà LOTUS MINI NO2 (Hộp sắt màu vàng),"Xì Gà, Thuốc Lá",8936031835934,3,0,250.000,185.000
Gạt tàn cú mèo,Hàng Gốm Sứ,AGT0008,3,0,50.000,37.000
Nón dây trơn bộ 5 cái,"Nón, Nón treo",NDT/5,3,0,120.000,89.000
Nón lá sen vẽ phi 41,"Nón, Nón treo",NLSV/41,3,0,500.000,370.000
Nước hoa Miss Việt Nam N28 Sứ trắng Huế 35ml,Nước Hoa,8934662133283,3,0,1.300.000,963.000
Nước hoa Miss VietNam N33 Sứ màu Hà Nội 35ml,Nước Hoa,8934662133337,3,0,1.300.000,963.000
Túi cói quai da KT: 40x44,"Túi xách, Làn, Ví",TCQD/40X44,3,0,260.000,193.000
Tích lộc mini vẽ sen chuồn HB,Hàng Gốm Sứ,ATL1816014,3,0,1.000.000,741.000
Bộ Ac trâu đào,Hàng Gốm Sứ,AC29/DAO,3,0,500.000,370.000
Cốc Lipton,Hàng Gốm Sứ,CTM01,3,0,60.000,44.000
Phin cà phê màu vàng phi 7,Phin CF,PCP/VANG/7,3,"14.285,71",120.000,89.000
Nón Bắc Bộ trơn phi 40,"Nón, Nón treo",NBBT/40,3,0,80.000,59.000
Bánh đậu xanh Hòa An hộp 200g,"Đồ Ăn, Thức Uống",8938539983247,3,0,30.000,22.000
Nón dây bọc vải bộ 10 cái,"Nón, Nón treo",NDBV/10,3,0,600.000,444.000
Set sổ và bút Việt Nam,Thủ công mỹ nghệ,SET/S+B,3,0,100.000,74.000
Túi xách vuông thổ cẩm KT phi 35cm,"Túi xách, Làn, Ví",TC/TXV/35,3,0,150.000,111.000
Trái cây sấy vinamit MP gói 250g,"Đồ Ăn, Thức Uống",8934743022963,3,0,100.000,74.000
Cà phê hòa tan cappuccino coconut Trung Nguyên legend 216g 12x18g,"Đồ Ăn, Thức Uống",8935024170403,3,0,90.000,67.000
Bát gáo dừa cô gái đỏ,Hàng Sơn Mài,SM/BGD/GAI/D,3,0,50.000,37.000
Đèn lồng tre size S,Đèn lồng,DL/TRE/S,3,0,200.000,148.000
Lọ chày sơn mài 30,Hàng Sơn Mài,SM/L/CHAY/30,3,0,200.000,148.000
Bát tô F16 hỏa biến sen CL,Hàng Gốm Sứ,HB/BT/F16/SEN,2,0,250.000,185.000
"Rượu Gái Mèo 25,5% 375ml",Rượu,8938528985658,2,0,300.000,222.000
"Rượu Em Mơ 29,5% 375ml",Rượu,8938528985627,2,0,300.000,222.000
Rượu Mùa cốm 28% 530ml,Rượu,8938528985801,2,0,400.000,296.000
Đĩa lượn 5 cánh vẽ sen F21,Hàng Gốm Sứ,T/D/5C/SEN/F21,2,0,180.000,133.000
Trà hoa nhài lọ,"Đồ Ăn, Thức Uống",TRA/H/LO,2,0,60.000,44.000
Bình Sơn Mài Mang cá mới nhí 18 cm,Hàng Sơn Mài,SM/BMCM/S,2,0,300.000,222.000
Bình A Còng 30 cm,Hàng Sơn Mài,BACONG/30,2,0,600.000,444.000
Trà cung đình hộp màu đỏ G10,"Đồ Ăn, Thức Uống",TCD/H/DO/G10,2,0,200.000,148.000
Rượu Sông Cái Spiced Roselle Flavored Gin 220ml (45%),Rượu,R/SPICED/220,2,0,650.000,481.000
Rượu Sông Cái Spiced Roselle Flavored Gin 700ml (32.5%),Rượu,8938528319064,2,0,1.800.000,1.333.000
Trà cung đình gói màu cam G10 kèm gói KM uống thử,"Đồ Ăn, Thức Uống",8938506776063,2,0,100.000,74.000
Nón Huế vẽ cờ đỏ sao vàng phi 40,"Nón, Nón treo",NHVCDSV/40,2,0,80.000,59.000
Socola đen Bà Rịa 76% Marou 80g,"Đồ Ăn, Thức Uống",8938505214153,2,0,140.000,104.000
Socola coconut milk Bến Tre 55% Marou 80g,"Đồ Ăn, Thức Uống",8938505214368,2,0,170.000,126.000
Socola đen Đăk Lăk 70% Marou 24g,"Đồ Ăn, Thức Uống",8938505214801,2,0,75.000,56.000
Phin pha cà phê K.H Trung Nguyên,Phin CF,PHINCF/KH/TN,2,0,120.000,89.000
cafe hương chồn Wake up 306g,"Đồ Ăn, Thức Uống",8934683007037,2,0,70.000,52.000
Khỉ len chân ngắn,Len,LEN/KCN,2,0,200.000,148.000
Thỏ len dâu,Len,LEN/TD,2,0,200.000,148.000
Thỏ ngọc len,Len,LEN/TN,2,0,400.000,296.000
Móc khóa len Minion,Len,LEN/MKMINION,2,0,100.000,74.000
Lọ Tỏi Sơn Mài 25,Hàng Sơn Mài,SM/L/TOI/25,2,0,200.000,148.000
Bình Sơn Mài vòi công cỡ lớn 39 cm,Hàng Sơn Mài,SM/BVCONG/L/39,2,0,380.000,281.000
Bình Sơn Mài vòi Công cỡ trung 32 cm,Hàng Sơn Mài,SM/BVCONG/M/32,2,0,350.000,259.000
Bình Sơn Mài Vòi Công cỡ nhỏ 27 cm,Hàng Sơn Mài,SM/BVCONG/S/27,2,0,320.000,237.000
