Tên sản phẩm,Loại sản phẩm,Mã SKU,Đơn vị,LC_CN1_Tồn kho ban đầu,LC_CN1_Giá vốn khởi tạo,PL_Giá bán lẻ,PL_Giá nhập
Xì gà LOTUS NO 2 (hộp sắt màu vàng),"Xì Gà, Thuốc Lá",8936031834234,Hộp,17,0,850.000,0
Xì gà Lotus MINI NO 2 (hộp sắt màu đen),"Xì Gà, Thuốc Lá",8936031835897,Hộp,17,0,250.000,0
Đèn lồng tỏi 30cm,Đèn lồng,DL/TOI/30,Cái,17,0,150.000,0
Bánh dừa nướng TopCoco HAPI gói 150g,"Đồ Ăn, Thức Uống",8938544489062,Gói,16,0,30.000,0
Rượu táo mèo yên bái 19% 100ml,Rượu,8938528985894,Chai,16,0,150.000,0
Bát sơn mài (bát gỗ),Hàng Sơn Mài,SM/BAT,Cái,16,0,70.000,0
Gác đũa HB sen,Hàng Gốm Sứ,HB/GD/SEN,Cái,16,0,35.000,0
Xì gà Lotus Victory ( hộp giấy 5 điếu ),"Xì Gà, Thuốc Lá",8936031840556,Hộp,16,0,1.200.000,0
Đèn lồng tỏi 45cm,Đèn lồng,DL/TOI/45,Cái,16,0,200.000,0
"Sổ nhỏ ( vuông,hcn)",Thủ công mỹ nghệ,KG/SO/VCN,Cái,15,0,30.000,0
Cặp tóc len,Len,LEN/CT,Cái,15,0,20.000,0
Túi vải canvas in phong cảnh KT: 28x34,"Túi xách, Làn, Ví",TV/CANVAS/PC/28X34,Cái,15,0,150.000,0
Khay muối vuông HB,Hàng Gốm Sứ,HB/KHM/V,Cái,15,0,30.000,0
Đèn lồng tròn 45cm,Đèn lồng,DL/TRON/45,Cái,15,0,200.000,0
MR.VIET Cà Phê Hương Chồn- Cà Phê Hạt Rang (MR.VIET Chon- Roasted Coffee Beans) 250g,"Đồ Ăn, Thức Uống",8936135432954,Gói,15,0,220.000,0
Lót ly Sơn mài,Hàng Sơn Mài,SM/LOTLY,Cái,15,0,200.000,0
Rượu chanh leo đà lạt 19% 100ml,Rượu,8938528985870,Chai,14,0,150.000,0
Túi Canvas phong cảnh 32x35cm,"Túi xách, Làn, Ví",CLY/TCVS,Cái,14,0,150.000,0
Rượu gái mèo 100ml,Rượu,8938528985504,Chai,14,0,150.000,0
Kẹo Hải Hà cứng nhân Dâu gói 80g,"Đồ Ăn, Thức Uống",8936007390603,Gói,14,0,10.000,0
Gác rượu trứng,Hàng Sơn Mài,SM/GRU/TR,Cái,14,0,180.000,0
Quần áo dài đẹp,Quần Áo,CLY/QD,Cái,14,0,180.000,0
Đèn lồng tỏi 40cm,Đèn lồng,DL/TOI/40,Cái,14,0,150.000,0
Sầu riêng sấy lạnh Vinamit 60g,"Đồ Ăn, Thức Uống",8934743572178,Gói,14,0,100.000,0
Mr.Viet Hazelnut- Drip Bag Coffee 100g (MR.VIET Cà Phê Hương Hạt Dẻ- Cà Phê Phin Giấy 100g),"Đồ Ăn, Thức Uống",8936135432855,Gói,14,0,160.000,0
Mr.Viet Arabica- Drip Bag Coffee 100g (MR.VIET Cà Phê Arabica- Cà Phê Phin Giấy 100g),"Đồ Ăn, Thức Uống",8936135432862,Gói,14,0,160.000,0
Rượu xí muội 19% 100ml,Rượu,8938528985900,Chai,13,0,150.000,0
Côc HB vẽ,Hàng Gốm Sứ,C/HB/VE,Cái,13,0,80.000,0
Túi mề gà thêu 16x27,"Túi xách, Làn, Ví",CLY/TMG1627,Cái,13,0,100.000,0
Tranh sơn mài vuông cong 20x20,Hàng Sơn Mài,SM/TR/VC20,Cái,13,0,250.000,0
Xì gà LOTUS NO 1 (hộp giấy 5 điếu nâu),"Xì Gà, Thuốc Lá",XG/N/NO1,Hộp,13,0,650.000,0
Đèn lồng tròn 20cm,Đèn lồng,DL/TRON/20,Cái,13,0,100.000,0
Hoa Đậu Biếc,"Đồ Ăn, Thức Uống",HOA/DB,Gói,13,0,50.000,0
Túi trống phi 20,"Túi xách, Làn, Ví",T/TRONG/20,Cái,13,0,200.000,0
Trà quế túi lọc Cộng (2gr x20),"Đồ Ăn, Thức Uống",CPC/TQ/L,Hộp,13,0,80.000,0
MR.VIET Cà phê đen Americano (MR.VIET Americano Coffee),"Đồ Ăn, Thức Uống",8936135430202,Gói,13,0,120.000,0
Mr.Viet Chon- Drip Bag Coffee 100g (MR.VIET Cà Phê Hương Chồn- Cà Phê Phin Giấy 100g),"Đồ Ăn, Thức Uống",8936135432879,Gói,13,0,170.000,0
Bát gáo dừa đồng quê đỏ,Hàng Sơn Mài,SM/BGD/DQD,Cái,13,0,50.000,0
Hộp phấn sơn mài phi 6,Hàng Sơn Mài,SM/PHAN/6,Cái,13,0,70.000,0
Rượu chanh giấy miền tây 19% 100ml,Rượu,8938528985863,Chai,12,0,150.000,0
Rượu cô chanh 100ml,Rượu,8938528985474,Chai,12,0,150.000,0
Đĩa muối HB,Hàng Gốm Sứ,HB/DMU,Cái,12,0,40.000,0
Đĩa muối HB sen,Hàng Gốm Sứ,HB/DMU/SEN,Cái,12,0,40.000,0
Thìa cơm trâu sen,Hàng Gốm Sứ,THC/TS,Cái,12,0,30.000,0
Trà hoa cúc (gói),"Đồ Ăn, Thức Uống",TRA/HC,Gói,12,0,50.000,0
Bộ AC lõm quai mây,Hàng Gốm Sứ,TACTN01,Bộ,12,0,250.000,0
Xì gà LOTUS NO 1 (hộp giấy 5 điếu vàng),"Xì Gà, Thuốc Lá",XG/V/NO1,Hộp,12,0,650.000,0
CAPHE MOKA GÓI 200G,"Đồ Ăn, Thức Uống",CP/M/200G,Gói,12,0,140.000,0
Đèn lồng tròn 30cm,Đèn lồng,DL/TRON/30,Cái,12,0,150.000,0
Đĩa kê cốc CF xanh lá,Hàng Gốm Sứ,DCF/XL,Cái,12,0,20.000,0
Đèn lồng tỏi 35cm,Đèn lồng,DL/TOI/35,Cái,12,0,150.000,0
Cốc cà phê cao hoả biến,Hàng Gốm Sứ,T/CFTM/H/HB,Cái,12,0,120.000,0
Chân kê đĩa gỗ 18cm,Thủ công mỹ nghệ,CKD/18,Cái,12,0,50.000,0
Hộp trang sức SM hình chữ nhật KT 14x24,Hàng Sơn Mài,SM/HTS/14x24,Cái,12,0,500.000,0
Cam Sơn mài phi 16,Hàng Sơn Mài,SM/CAM16,Cái,12,0,200.000,0
Rượu quất hồng bì 100ml,Rượu,4938522985955,Chai,11,0,150.000,0
Capybara cầm cờ Việt Nam,Len,LEN/CPBARACCVN,Con,11,0,150.000,0
Móc khóa len gấu đeo cờ size to,Len,LEN/MKGDC/T,Cái,11,0,100.000,0
Kẹo Hải Hà Chew sầu riêng gói 90g,"Đồ Ăn, Thức Uống",8934595060434,Gói,11,0,15.000,0
Cốc ngọc trai,Hàng Gốm Sứ,C/NT,Cái,11,0,80.000,0
Nón lụa vẽ nổi F43,"Nón, Nón treo",NLVN/43,Cái,11,0,500.000,0
